Segmento;Sub-Tipo / Categoria;Nome do Campo;Tipo de Campo (Input/Select);Opções Sugeridas (Separadas por Semicolon);Origem do Campo (Atual/Proposto);Justificativa de Engenharia;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Tipo de Alimentador/Dosador*;Seleção (Select);"Rosca Sem Fim (Pós densos, farináceos); Pistão Pneumático (Líquidos viscosos, cremes, géis); Balança de Caneca Vibratória (Granulados, grãos, petiscos)";Atual;Determina o princípio físico de dosagem.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Faixa de Peso/Volume de Envase*;Seleção (Select);"De 5g a 50g; De 50g a 500g; De 500g a 2000g; De 2kg a 5kg";Atual;Define o diâmetro da rosca ou o diâmetro da camisa do pistão para garantir precisão.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Viscosidade / Fluidez do Produto*;Seleção (Select);"Semelhante à Água / Óleo; Semelhante a Shampoo / Mel; Semelhante a Pasta de Amendoim / Massa densa";Proposto Melhorado (UX);Analogias práticas evitam o uso de termos técnicos e garantem o projeto das válvulas.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Geração de Espuma*;Seleção (Select);"Não gera; Gera muita espuma sob agitação";Proposto Novo;Geração de espuma obriga o uso de bicos 'mergulhantes' (que vão até o fundo) para não transbordar.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Características Físicas do Produto*;Seleção (Select);"Pó seco / Fluidez livre; Aderente / Pegajoso; Higroscópico (Absorve umidade / Empedra)";Atual;Pós pegajosos exigem raspadores mecânicos no funil de alimentação.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Variação Máxima Aceitável de Peso (Perda em gramas)*;Texto / Número;-;Proposto Melhorado (UX);Substitui Precisão Tolerável. Evita pedidos irreais de 0g. Baliza a necessidade de células de carga caras.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Método de Alimentação do Funil da Máquina*;Seleção (Select);"Manual (Operador joga de balde/saco); Bomba de Transferência; Elevador de Rosca/Taliscas";Proposto Engenharia (Zero Erros);Funis alimentados automaticamente precisam de projetos elétricos com sensores de nível para comandar a bomba do cliente.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Tipo de Embalagem a Preencher*;Seleção (Select);"Rígida (Pote / Frasco); Flexível (Saco / Pouch)";Proposto Novo;Sacos flexíveis exigem bico com 'prendedor' pneumático, senão o operador tem que segurá-lo manualmente.;
4. Dosagem e Pesagem Semiautomática;Dosadores Semi;Temperatura do Produto no Envase (°C);Número;-;Proposto Novo;Dosar quente altera a viscosidade e dilata vedações mecânicas (exige juntas de Teflon e aço inoxidável especial).;
5. Empacotamento Automático;Empacotadoras VFFS / Flow Pack / Stick;Formato da Embalagem*;Seleção (Select);"VFFS Vertical Almofada / Travesseiro; VFFS Vertical Sanfonado / Fundo Chato; Stand-up Pouch (Pré-formado ou com Zíper); Flow Pack Horizontal; Sachê tipo Stick";Atual;Define a arquitetura física (VFFS vs Flowpack vs Stick).;
5. Empacotamento Automático;Empacotadoras;Equipamento de Dosagem Superior Acoplado*;Seleção (Select);"Balança Multicabeçote (Grãos/Snacks); Dosador de Rosca Sem Fim (Pós); Copo Volumétrico (Grãos); Bomba de Pistão (Líquidos)";Proposto Engenharia (Zero Erros);A empacotadora apenas forma o plástico. A engenharia precisa desenhar o suporte mecânico de acordo com o peso e formato do dosador superior.;
5. Empacotamento Automático;Empacotadoras;Dimensões Finais da Embalagem Cheia (Largura x Altura mm)*;Texto;-;Proposto Melhorado (UX);Substitui 'Largura da bobina'. O cliente não sabe a bobina, mas sabe a embalagem final. A engenharia calcula o resto.;
5. Empacotamento Automático;Empacotadoras;Arte Impressa possui Fotocélula (Tarja preta)?;Seleção (Select);"Sim; Não (Filme liso ou arte contínua)";Proposto Novo;Define a necessidade de sensores ópticos de leitura de passo.;
5. Empacotamento Automático;Empacotadoras;Tipo de Solda/Selagem*;Seleção (Select);"Solda Lisa (PE simples); Solda Estriada (Laminados / Barreira); 3 Soldas (Almofada / 3 Soldas Laterais / Flow Pack); 4 Soldas Laterais (Quad-seal); Solda Fria (Cold Seal); De acordo com projeto do cliente";Atual;Define o recartilhado / frisos dos mordentes e temperatura do controle PID.;
5. Empacotamento Automático;Empacotadoras;Tipo de Datador Requerido*;Seleção (Select);"Hot Stamping (Fita térmica simples); Inkjet Integrado; Termotransferência (TTO - Dados variáveis/barras); Não exige datador";Atual;Exige suportes de montagem e CLP programado para sincronizar o avanço da película.;
5. Empacotamento Automático;Empacotadoras;Sensibilidade do Produto à Queda*;Seleção (Select);"Resistente (Grãos, feijão, arroz, parafusos); Média (Biscoitos, snacks, torradas); Altíssima (Requer calhas inclinadas de baixa queda)";Atual;Produtos frágeis exigem calhas inclinadas de baixa queda e mordentes especiais.;
5. Empacotamento Automático;Empacotadoras;Composição e Espessura da Bobina de Filme;Texto;-;Proposto Novo;Filmes de PE puro exigem selagem com impulso e resfriamento ativo, enquanto BOPP/Alumínio usam resistência contínua.;
5. Empacotamento Automático;Empacotadoras;Velocidade Requerida de Produção (Pacotes/minuto - ppm);Número;-;Proposto Novo;Velocidades acima de 50 ppm exigem tracionamento de filme por correias a vácuo e mordentes com acionamento por servomotor.;
6. Envasadoras Automáticas de Líquidos/Pastosos;Linhas de Envase;Tipo de Envasadora Automática*;Seleção (Select);"Pistão Volumétrico (Pastosos e Alta Viscosidade); Gravidade por Temporização (Líquidos Finos); Ponderal por Célula de Carga (Precisão Industrial/Química)";Atual;Dimensiona a precisão e vazão mecânica da linha.;
6. Envasadoras Automáticas;Linhas de Envase;Range Extremo de Envase (Menor e Maior Volume)*;Texto;-;Proposto Engenharia (Zero Erros);Se o cliente quiser envasar 50ml e 2 Litros na mesma envasadora, um único cilindro não consegue precisão para os dois. Exige orçar kits de camisas extras.;
6. Envasadoras Automáticas;Linhas de Envase;Comportamento de Corte do Fluxo*;Seleção (Select);"Corta limpo (Água); Forma 'fio' / Goteja (Mel/Shampoo/Óleo)";Proposto Engenharia (Zero Erros);Líquidos que formam fio sujam o frasco. Exige projetar bicos com sucção 'corta-gota' mecânica ou pneumática.;
6. Envasadoras Automáticas;Linhas de Envase;Geração de Espuma durante o envase*;Seleção (Select);"Não gera espuma; Gera muita espuma sob agitação";Proposto Novo;Espuma exige bicos 'mergulhantes' no projeto para evitar o transbordamento.;
6. Envasadoras Automáticas;Linhas de Envase;Estabilidade do Frasco Vazio*;Seleção (Select);"Fica em pé sozinho; Tomba com facilidade (Ex: Bisnaga, rímel, frasco fino)";Proposto Novo;Se o frasco tomba, é obrigatório orçar 'Pucks' (berços) para transporte na esteira.;
6. Envasadoras Automáticas;Linhas de Envase;Ciclo de Higienização*;Seleção (Select);"Desmontagem Manual e Limpeza Convencional; Ciclo CIP/SIP Automático (Tubulações farmacêuticas/clamp)";Atual;CIP/SIP exige atuadores pneumáticos e coletores de retorno acoplados à máquina.;
6. Envasadoras Automáticas;Linhas de Envase;Temperatura Máxima do Líquido no Envase (°C)*;Número;-;Proposto Novo;Líquidos muito quentes (>70°C) exigem vedações especiais (Viton/Teflon) em vez de borracha comum.;
6. Envasadoras Automáticas;Linhas de Envase;Geometria do Frasco*;Seleção (Select);"Cadrão Cilíndrico (Estável); Retangular ou Quadrado; Irregular / Instável (Exige pucks de fixação)";Atual;Frascos instáveis exigem esteiras com guias reguláveis especiais ou berços de fixação ('pucks').;
6. Envasadoras Automáticas;Linhas de Envase;Diâmetro Interno do Gargalo (mm);Número;-;Proposto Novo;Define o diâmetro dos bicos de envase. Bicos muito finos reduzem a velocidade da máquina.;
6. Envasadoras Automáticas;Linhas de Envase;Presença de Sólidos/Pedaços no Produto;Seleção (Select);"Não tem sólidos (Líquido homogêneo); Sim, contém pedaços menores de 3mm; Sim, contém pedaços maiores (Ex: polpa fruta)";Proposto Novo;Pedaços obstruem válvulas normais de bico, exigindo pistões com passagem plena e válvulas rotativas servo-controladas.;
7. Sistemas de Fechamento & Tampagem;Rosqueadoras / Indução;Sub-tipo de Fechamento*;Seleção (Select);"Seladoras de Selo de Alumínio por Indução; Rosqueadoras Automáticas (Gatilho/Roscada)";Atual;Separação lógica dos equipamentos do segmento.;
7. Sistemas de Fechamento & Tampagem;Indução;O selo de alumínio já vem embutido na tampa?*;Seleção (Select);"Sim (Padrão de indução); Não";Proposto Novo;Alinha expectativas: a indutora apenas sela, ela não corta nem insere o selo de alumínio na tampa.;
7. Sistemas de Fechamento & Tampagem;Indução;Largura Máxima do Selo de Alumínio (mm)*;Seleção (Select);"Até 50 mm; Até 80 mm; Até 120 mm; Acima de 120 mm";Atual;Determina o tamanho da bobina/cabeçote indutor do túnel.;
7. Sistemas de Fechamento & Tampagem;Indução;Sistema de Resfriamento da Cabeça*;Seleção (Select);"Refrigeração a Ar (Baixa/Média velocidade); Refrigeração a Água Chiller (Alta velocidade/Industrial)";Atual;Indutoras de alta velocidade geram calor crítico, exigindo chiller d'água ativo integrado.;
7. Sistemas de Fechamento & Tampagem;Rosqueadora;Método de Alimentação de Tampas*;Seleção (Select);"Operador coloca a tampa manual; Elevador / Panela Vibratória Automática";Proposto Engenharia (Zero Erros);Se for automático, a Engenharia precisa desenhar um classificador de tampas, que costuma representar boa parte do orçamento mecânico.;
7. Sistemas de Fechamento & Tampagem;Rosqueadora;Geometria da Tampa (Pescador)*;Seleção (Select);"Tampa Simples (Rosca comum); Com pescador longo (Válvula Pump / Gatilho Spray)";Proposto Novo;Tampas com pescador longo não sobem sozinhas na panela vibratória; exigem robótica ou inserção manual.;
7. Sistemas de Fechamento & Tampagem;Rosqueadora;Tipo de Tampa*;Seleção (Select);"Tampa Roscada Comum (Plástica/Metálica); Tampa com Gatilho / Borrifadora (Spray); Tampa com Válvula Pump (Sabonete/Loção); Tampa Flip-Top / Pressão";Atual;Tampas de gatilho ou pump exigem alimentação por elevador e inserção manual ou garra robótica.;
7. Sistemas de Fechamento & Tampagem;Rosqueadora;Torque Requerido (Nm)*;Seleção (Select);"Não sei / Padrão de prateleira; Ajuste Magnético Padrão (Leve a Médio); Servo Motorizado (Alto torque controlado / Rastreável)";Proposto Melhorado (UX);Facilita o preenchimento para clientes que não sabem o valor exato em Nm.;
7. Sistemas de Fechamento & Tampagem;Rosqueadora;Passo da Rosca e Altura da Tampa (mm);Texto;-;Proposto Novo;Define os mordentes rotativos de rosqueamento para não mastigar a tampa plástica.;
8. Seladoras a Vácuo & Termoformadoras;Campana / Termoformadora;Tipo de Seladora a Vácuo*;Seleção (Select);"Seladora de Campana (Câmara); Termoformadora Industrial Automática (Bobinas de filme); Seladora de Bandejas com Atmosfera Modificada (MAP)";Atual;Diferencia o tipo físico de envase.;
8. Seladoras a Vácuo & MAP;Campana / Termoformadora;Presença de Líquido Livre ou Produto Quente?*;Seleção (Select);"Apenas sólido e frio; Contém muito líquido (sangue, caldo) ou embalado quente";Proposto Novo;Líquidos ou produtos quentes sob vácuo fervem e são sugados, destruindo a bomba. Exige base com inclinação.;
8. Seladoras a Vácuo & MAP;Campana / Termoformadora;Injeção de Gás (MAP) Requerida?*;Seleção (Select);"Não (Apenas Vácuo Padrão); Sim (Atmosfera Modificada - Nitrogênio/CO2)";Atual;Exige válvulas dosadoras e conexões para cilindros de gás inerte.;
8. Seladoras a Vácuo & MAP;Campana / Termoformadora;Tipo de Barra de Selagem*;Seleção (Select);"Simples costura de selagem; Dupla barra de selagem (Segurança extra); Bi-ativa (Aquecimento inferior e superior para sacos grossos)";Atual;Sacos grossos laminados de alta barreira exigem selagem bi-ativa para não vazar.;
8. Seladoras a Vácuo & MAP;Campana / Termoformadora;Dimensões Máximas do Produto a Embalar (C x L x A - mm);Texto;-;Proposto Novo;Define a profundidade da campana ou o passo/profundidade de termoformação.;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Tipo de Rotuladora*;Seleção (Select);"Linear Autoadesiva (Padrão para frascos planos/cilíndricos); Rotativa Autoadesiva (Altíssima velocidade, múltiplos rótulos); Aplicadora de Rótulo Sleeve (Termoencolhível com Túnel)";Atual;Define a estrutura mecânica (linear vs carrossel rotativo).;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Condição da Superfície do Frasco no Momento*;Seleção (Select);"Seco e limpo; Úmido/Suado (Condensação fria); Oleoso";Proposto Novo;Rótulo não adere em frasco molhado. Se úmido, a engenharia deve orçar um secador/faca de ar antes da rotuladora.;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Geometria Oculta (Conicidade)*;Seleção (Select);"100% Cilíndrico e Reto; Levemente cônico (Formato copo/balde)";Proposto Novo;Frascos cônicos exigem cabeçote inclinável, caso contrário o rótulo forma bolhas e sobe em espiral.;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Posicionamento do Rótulo*;Seleção (Select);"Cilíndrico Envolvente (Envolve todo o frasco); Frente e Verso Simultâneos (Frascos planos/ovais); Plano Superior (Tampas, caixas); Lacre de Segurança em L (Tampas)";Atual;Define a quantidade de cabeçotes dispensadores (1 ou 2) e se usará sistema de prensa superior.;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Sensor de Rótulo Requerido*;Seleção (Select);"Rótulo Opaco Padrão (Sensor fotoelétrico comum); Rótulo Transparente/BOPP (Sensor ultrassônico especial)";Atual;"Sensores ópticos comuns atravessam rótulos transparentes sem ler; exige sensor capacitivo/ultrassônico.";
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Altura Máxima do Rótulo (mm);Número;-;Proposto Novo;Define a largura do cabeçote dispensador (ex: placa de 100mm, 150mm ou 200mm).;
9. Rotuladoras & Etiquetadoras;Lineares / Sleeve;Sentido de Desenrolamento da Bobina;Seleção (Select);"Esquerda para Direita (Padrão); Direita para Esquerda (Invertido)";Proposto Novo;Alinhamento essencial com a gráfica que imprime os rótulos do cliente para evitar rótulos invertidos.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Sub-tipo Termoencolhível*;Seleção (Select);"Seladora em L Automática; Seladora em L Contínua Automática; Enfardadora Bundling (Filme PE); Túnel de Encolhimento Elétrico; Túnel de Encolhimento a Vapor (Rótulos Sleeve)";Proposto Engenharia (Zero Erros);Inclusão da Enfardadora Bundling para separar o escopo de fardos pesados com filme PE.;
10. Termoencolhíveis & Seladoras;Enfardadora Bundling;Matriz de Agrupamento do Fardo (Ex: 3x4, 2x3)*;Texto;-;Proposto Engenharia (Zero Erros);Define a largura da barra de selagem (faca reta) e o curso do pistão empurrador pneumático.;
10. Termoencolhíveis & Seladoras;Enfardadora Bundling;Sentido de Alimentação do Produto*;Seleção (Select);"Frontal (Em linha reta); Lateral (Entrada em 90 graus)";Proposto Engenharia (Zero Erros);Define totalmente o layout da esteira agrupadeira e como o produto será empurrado contra a cortina de filme de PE.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Base de Sustentação do Produto/Fardo*;Seleção (Select);"Apenas filme (Garrafas soltas); Bandeja plana de papelão por baixo (Pad); Caixa fechada / Produto único rígido";Proposto Engenharia (Zero Erros);Garrafas soltas sem bandeja tombam facilmente ao serem empurradas pelo pistão pneumático. Exige esteiras de transição super curtas.;
10. Termoencolhíveis & Seladoras;Enfardadora Bundling;Tipo de Fechamento do Fardo*;Seleção (Select);"Padrão com furos laterais (Olho de Boi); Fechamento Total (100% selado)";Proposto Engenharia (Zero Erros);Para fardos totalmente fechados (sem 'olho de boi'), a máquina exige sistemas extras de prensagem e solda lateral.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Sensibilidade do Produto Interno ao Calor*;Seleção (Select);"Resistente ao calor; Sensível (Pode derreter/deformar/explodir - Chocolates, latas de aerossol)";Proposto Novo;Produtos sensíveis exigem túneis de lâmpadas infravermelhas ultrarrápidas em vez de resistências lentas.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Peso Total do Fardo / Pacote (kg)*;Número;-;Proposto Novo;Fardos pesados (>10kg) comuns em Bundling exigem roletes de aço maciço e motoredutores reforçados no túnel de calor.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Dimensão da Área de Selagem (C x L)*;Texto;-;Atual;Define o tamanho da faca de corte (em L para caixas ou Faca Reta Guilhotina para Bundling).;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Produtividade Requerida (Pacotes ou Fardos/min)*;Número;-;Atual;Paces por minuto (ppm) determinam a automação do sistema e a velocidade da esteira.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Dimensões Internas da Janela de Entrada (L x A)*;Texto;-;Atual;Janela interna do túnel para passagem livre do produto. Em fardos, exige margem de folga maior.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Tipo de Resistência/Aquecimento*;Seleção (Select);"Resistências Elétricas Blindadas Aletadas; Lâmpadas Infravermelho (Rápido aquecimento/resfriamento); Gerador de Vapor Direto (Indicado para Sleeve e frascos cheios)";Atual;Túneis a vapor são ideais para frascos cheios ou inflamáveis, evitando queima do insumo.;
10. Termoencolhíveis & Seladoras;Seladoras L / Bundling / Túneis;Tipo de Filme Termoencolhível*;Seleção (Select);"PVC (Alta transparência, mais rígido); POF / Poliolefínico (Alimentício comum, flexível); PE / Polietileno (Fardos grossos - Obrigatório em Bundling)";Proposto Novo;Filmes de PE exigem túneis de altíssima caloria com fluxo forçado de ar e grandes ventiladores de resfriamento (cooling fans) na saída.;
11. Final de Linha & Paletização;Armação / Fechamento / Esteiras;Equipamento Final de Linha*;Seleção (Select);"Formadora de Caixas de Papelão Automática; Fechadora de Caixas de Papelão (Fita adesiva / Hotmelt); Paletizadora Automática (Envolvedora de filme stretch); Esteiras de Acúmulo e Curvas de Distribuição";Atual;Configuração do equipamento.;
11. Final de Linha;Paletização;Padrão Exato do Palete (Dimensões)*;Seleção (Select);"PBR Brasil (1000x1200mm); Euro-palete (800x1200mm); Dimensões Especiais";Proposto Engenharia (Zero Erros);Se for diferente de PBR, todas as garras do robô, esteiras e revistas dispensadoras de paletes precisarão ser redesenhadas para essa medida.;
11. Final de Linha;Armação / Fechamento / Esteiras;Qualidade do Papelão Atual*;Seleção (Select);"Caixas retas e rígidas (Material Virgem); Caixas costumam vir empenadas/moles (Material Reciclado)";Proposto Novo;Papelão mole trava formadoras automáticas. Exige ventosas mais potentes.;
11. Final de Linha;Armação / Fechamento / Esteiras;Tipo de Fechamento da Caixa*;Seleção (Select);"Fita Adesiva Plástica Comum; Cola Quente Hotmelt (Selagem estrutural de segurança)";Atual;Hotmelt exige reservatório de cola quente e mangueiras aplicadoras controladas por CLP.;
